Wellenlaenge (nm),Bestrahlungsstaerke
558,0.001370183
559,0.001370183
560,0.001370183
561,0.001370183
562,0.001370183
563,0.001370183
564,0.001370183
565,0.001370183
566,0.001370183
567,0.001370183
568,0.001370183
569,0.001370183
570,0.001370183
571,0.001370183
572,0.001370183
573,0.001370183
574,0.001370183
575,0.001370183
576,0.001370183
577,0.001370183
578,0.001370183
579,0.001370183
580,0.001370183
581,0.001370183
582,0.001370183
583,0.001370183
584,0.001370183
585,0.001370183
586,0.001370183
587,0.001370183
588,0.001370183
589,0.001370183
590,0.001370183
591,0.001370183
592,0.001370183
593,0.001370183
594,0.001370183
595,0.001370183
596,0.001370183
597,0.001370183
598,0.001370183
599,0.001370183
600,0.001370183
601,0.001370183
602,0.001370183
603,0.001370183
604,0.001370183
605,0.001370183
606,0.001370183
607,0.001370183
608,0.001370183
609,0.001370183
610,0.001370183
611,0.001370183
612,0.001370183
613,0.001370183
614,0.001370183
615,0.001370183
616,0.001370183
617,0.001370183
618,0.001370183
619,0.001370183
620,0.001370183
621,0.001370183
622,0.001370183
623,0.001370183
624,0.001370183
625,0.001370183
626,0.001370183
627,0.001370183
628,0.001370183
629,0.001370183
630,0.001370183
631,0.001370183
632,0.001370183
633,0.001370183
634,0.001370183
635,0.001370183
636,0.001370183
637,0.001370183
638,0.001370183
639,0.001370183
640,0.001370183
641,0.001370183
642,0.001370183
643,0.001370183
644,0.001370183
645,0.001370183
646,0.001370183
647,0.001370183
648,0.001370183
649,0.001370183
650,0.001370183
651,0.001370183
652,0.001370183
653,0.001370183
654,0.001370183
655,0.001370183
656,0.001370183
657,0.001370183
658,0.001370183
659,0.001370183
660,0.001370183
661,0.001370183
662,0.001370183
663,0.001370183
664,0.001370183
665,0.001370183
666,0.001370183
667,0.001370183
668,0.001370183
669,0.001370183
670,0.001370183
671,0.001370183
672,0.001370183
673,0.001370183
674,0.001370183
675,0.001370183
676,0.001370183
677,0.001370183
678,0.001370183
679,0.001370183
680,0.001370183
681,0.001370183
682,0.001370183
683,0.001370183
684,0.001370183
685,0.001370183
686,0.001370183
687,0.001370183
688,0.001370183
689,0.001370183
690,0.001370183
691,0.001370183
692,0.001370183
693,0.001370183
694,0.001370183
695,0.001370183
696,0.001370183
697,0.001370183
698,0.001370183
699,0.001370183
700,0.001370183
701,0.001370183
702,0.001370183
703,0.001370183
704,0.001370183
705,0.001370183
706,0.001370183
707,0.001370183
708,0.001370183
709,0.001370183
710,0.001370183
711,0.001370183
712,0.001370183
713,0.001370183
714,0.001370183
715,0.001370183
716,0.001370183
717,0.001370183
718,0.001370183
719,0.001370183
720,0.001370183
721,0.001370183
722,0.001370183
723,0.001370183
724,0.001370183
725,0.001370183
726,0.001370183
727,0.001370183
728,0.001370183
729,0.001370183
730,0.001370183
731,0.001370183
732,0.001370183
733,0.001370183
734,0.001370183
735,0.001370183
736,0.001370183
737,0.001370183
738,0.001370183
739,0.001370183
740,0.001370183
741,0.001370183
742,0.001370183
743,0.001370183
744,0.001370183
745,0.001370183
746,0.001370183
747,0.001370183
748,0.001370183
749,0.001370183
750,0.001370183
751,0.001370183
752,0.001370183
753,0.001370183
754,0.001370183
755,0.001370183
756,0.001370183
757,0.001370183
758,0.001370183
759,0.001370183
760,0.001370183
761,0.001370183
762,0.001370183
763,0.001370183
764,0.001370183
765,0.001370183
766,0.001370183
767,0.001370183
768,0.001370183
769,0.001370183
770,0.001370183
771,0.001370183
772,0.001370183
773,0.001370183
774,0.001370183
775,0.001370183
776,0.001370183
777,0.001370183
778,0.001370183
779,0.001370183
780,0.001370183
